no,teamA, teamB, scoreA, scoreB,
569,Australia  7s, Russia 7s, 10, 19, 
570,Kenya  7s, Samoa 7s, 17, 7, 
571,South Africa  7s, Scotland 7s, 19, 19, 
572,France  7s, Ireland 7s, 21, 19, 
573,New Zealand  7s, Canada 7s, 33, 19, 
574,New Zealand  7s, Ireland 7s, 34, 7, 
575,Zambia  7s, Sri Lanka 7s, 17, 12, 
576,Scotland  7s, Chile 7s, 25, 5, 
577,France  7s, USA 7s, 17, 28, 
578,Ireland  7s, China 7s, 7, 26, 
579,England  7s, Brazil 7s, 12, 17, 
580,China  7s, Japan 7s, 10, 14, 
581,Samoa  7s, Wales 7s, 21, 21, 
582,New Zealand  7s, Japan 7s, 42, 5, 
583,Canada  7s, South Africa 7s, 36, 7, 
584,Scotland  7s, South Africa 7s, 5, 15, 
585,USA  7s, England 7s, 19, 5, 
586,USA  7s, Kenya 7s, 41, 0, 
587,Spain  7s, USA 7s, 5, 20, 
588,Fiji  7s, Wales 7s, 26, 28, 
589,Spain  7s, China 7s, 12, 7, 
590,Scotland  7s, Canada 7s, 21, 19, 
591,Australia  7s, Wales 7s, 26, 0, 
592,New Zealand  7s, Australia 7s, 19, 0, 
593,South Africa  7s, France 7s, 20, 14, 
594,Australia  7s, Russia 7s, 20, 7, 
595,England  7s, Samoa 7s, 27, 0, 
596,New Zealand  7s, Japan 7s, 42, 0, 
597,Netherlands  7s, Russia 7s, 0, 22, 
598,Spain  7s, Canada 7s, 12, 12, 
599,South Africa  7s, Spain 7s, 38, 0, 
600,New Zealand  7s, England 7s, 12, 7, 
601,Scotland  7s, Chile 7s, 26, 10, 
602,Samoa  7s, Canada 7s, 38, 7, 
603,Spain  7s, Brazil 7s, 7, 10, 
604,USA  7s, Canada 7s, 17, 21, 
605,New Zealand  7s, South Korea 7s, 47, 7, 
606,South Africa  7s, Argentina 7s, 24, 5, 
607,Fiji  7s, Scotland 7s, 22, 19, 
608,Scotland  7s, Spain 7s, 21, 14, 
609,Samoa  7s, Namibia 7s, 59, 5, 
610,Samoa  7s, South Africa 7s, 0, 12, 
611,USA  7s, Scotland 7s, 26, 12, 
612,USA  7s, Spain 7s, 38, 10, 
613,USA  7s, Kenya 7s, 26, 10, 
614,Winner M39 Winner M40, , , 
615,Australia  7s, England 7s, 24, 7, 
616,Wales  7s, United Arab Emirates 7s, 47, 5, 
617,Fiji  7s, Ireland 7s, 27, 10, 
618,Argentina  7s, Scotland 7s, 14, 14, 
619,Russia  7s, England 7s, 19, 12, 
620,South Africa  7s, New Zealand 7s, 26, 5, 
621,Fiji  7s, Canada 7s, 26, 5, 
622,France  7s, Kenya 7s, 14, 17, 
623,USA  7s, France 7s, 19, 10, 
624,USA  7s, Canada 7s, 5, 19, 
625,USA  7s, China 7s, 21, 12, 
626,Australia  7s, England 7s, 12, 14, 
627,England  7s, Morocco 7s, 45, 0, 
628,Argentina  7s, England 7s, 14, 33, 
629,Samoa  7s, Australia 7s, 14, 10, 
630,Fiji  7s, Portugal 7s, 31, 7, 
631,Fiji  7s, Argentina 7s, 14, 12, 
632,Kenya  7s, England 7s, 7, 7, 
633,Argentina  7s, Kenya 7s, 14, 32, 
634,Russia  7s, Mexico 7s, 58, 0, 
635,Argentina  7s, USA 7s, 14, 19, 
636,Tonga  7s, Kenya 7s, 20, 17, 
637,Argentina  7s, Wales 7s, 28, 21, 
638,England  7s, Fiji 7s, 21, 26, 
639,Australia  7s, South Africa 7s, 17, 14, 
640,England  7s, Wales 7s, , , 
641,New Zealand  7s, France 7s, 29, 0, 
642,Samoa  7s, Canada 7s, 17, 26, 
643,USA  7s, China 7s, 24, 21, 
644,Samoa  7s, Scotland 7s, 31, 26, 
645,Argentina  7s, Australia 7s, 33, 12, 
646,England  7s, Portugal 7s, 58, 5, 
647,Scotland  7s, Papua New Guinea 7s, 17, 12, 
648,USA  7s, Zimbabwe 7s, 28, 12, 
649,Russia  7s, Brazil 7s, 42, 5, 
650,South Africa  7s, England 7s, 27, 14, 
651,France  7s, Portugal 7s, 22, 14, 
652,Argentina  7s, South Korea 7s, 36, 19, 
653,France  7s, Kenya 7s, 22, 19, 
654,Uganda  7s, United Arab Emirates 7s, 26, 12, 
655,Scotland  7s, United Arab Emirates 7s, 40, 5, 
656,Australia  7s, China 7s, 31, 0, 
657,Fiji  7s, England 7s, 21, 26, 
658,Fiji  7s, Canada 7s, 19, 26, 
659,France  7s, England 7s, 12, 29, 
660,Kenya  7s, South Africa 7s, 10, 49, 
661,Wales  7s, Spain 7s, , , 
662,England  7s, Kenya 7s, 13, 12, 
663,Loser M25 Loser M26, , , 
664,Wales  7s, Russia 7s, 19, 12, 
665,Australia  7s, Cook Islands 7s, 35, 17, 
666,Australia  7s, Spain 7s, 17, 14, 
667,Ireland  7s, Netherlands 7s, 14, 10, 
668,New Zealand  7s, Tonga 7s, 19, 5, 
669,England  7s, Australia 7s, 26, 17, 
670,Kenya  7s, Brazil 7s, 38, 0, 
671,Scotland  7s, Samoa 7s, 14, 21, 
672,Canada  7s, USA 7s, 19, 12, 
673,Canada  7s, Fiji 7s, 10, 24, 
674,England  7s, France 7s, 19, 0, 
675,Scotland  7s, Spain 7s, 7, 10, 
676,Australia  7s, South Africa 7s, 19, 14, 
677,USA  7s, Canada 7s, 10, 19, 
678,Australia  7s, USA 7s, 33, 14, 
679,Australia  7s, Brazil 7s, 7, 5, 
680,France  7s, Fiji 7s, 45, 12, 
681,Canada  7s, Brazil 7s, 33, 0, 
682,Australia  7s, Brazil 7s, 50, 0, 
683,South Africa  7s, USA 7s, 49, 0, 
684,Samoa  7s, Canada 7s, 31, 10, 
685,Fiji  7s, Kenya 7s, 36, 12, 
686,Morocco  7s, Sri Lanka 7s, 19, 7, 
687,Fiji  7s, France 7s, 31, 12, 
688,Mexico  7s, China 7s, 0, 47, 
689,Tonga  7s, Argentina 7s, 5, 12, 
690,South Africa  7s, Tonga 7s, 12, 15, 
691,Kenya  7s, France 7s, 5, 26, 
692,New Zealand  7s, South Africa 7s, 24, 17, 
693,Kenya  7s, Canada 7s, 5, 10, 
694,New Zealand  7s, Uganda 7s, 31, 0, 
695,South Africa  7s, Wales 7s, 29, 12, 
696,Samoa  7s, Argentina 7s, 12, 19, 
697,South Africa  7s, Australia 7s, 34, 7, 
698,Canada  7s, England 7s, 19, 10, 
699,Samoa  7s, Scotland 7s, 26, 12, 
700,Australia  7s, USA 7s, 47, 7, 
701,Argentina  7s, Japan 7s, 0, 7, 
702,USA  7s, South Africa 7s, 10, 21, 
703,Wales  7s, Japan 7s, 22, 5, 
704,New Zealand  7s, Ireland 7s, 36, 7, 
705,3rd Pool B 4th Pool C, , , 
706,South Africa  7s, Chile 7s, 43, 0, 
707,Australia  7s, Kenya 7s, 21, 24, 
708,Australia  7s, Kenya 7s, , , 
709,Kenya  7s, Wales 7s, 22, 14, 
710,Fiji  7s, United Arab Emirates 7s, 43, 0, 
711,Canada  7s, Scotland 7s, 35, 21, 
712,Australia  7s, Samoa 7s, 14, 21, 
713,Canada  7s, China 7s, 24, 0, 
714,New Zealand  7s, Tunisia 7s, 33, 0, 
715,South Africa  7s, Wales 7s, 19, 10, 
716,Samoa  7s, Russia 7s, 33, 12, 
717,Morocco  7s, Kenya 7s, 17, 19, 
718,South Africa  7s, Australia 7s, 21, 29, 
719,Fiji  7s, USA 7s, 14, 12, 
720,England  7s, France 7s, 29, 12, 
721,South Africa  7s, Scotland 7s, , , 
722,Scotland  7s, Australia 7s, 24, 26, 
723,Argentina  7s, Japan 7s, 24, 7, 
724,New Zealand  7s, France 7s, 24, 5, 
725,USA  7s, Canada 7s, 19, 26, 
726,USA  7s, Ireland 7s, , , 
727,Kenya  7s, Spain 7s, 26, 14, 
728,Canada  7s, USA 7s, 19, 31, 
729,Samoa  7s, Fiji 7s, 24, 21, 
730,Scotland  7s, USA 7s, 26, 19, 
731,England  7s, France 7s, 7, 22, 
732,France  7s, Argentina 7s, , , 
733,Scotland  7s, Japan 7s, 14, 15, 
734,Ireland  7s, Brazil 7s, 33, 5, 
735,Tunisia  7s, Samoa 7s, 19, 7, 
736,New Zealand  7s, Portugal 7s, 52, 0, 
737,New Zealand  7s, Australia 7s, 33, 14, 
738,Russia  7s, England 7s, 31, 5, 
739,France  7s, Spain 7s, 21, 7, 
740,New Zealand  7s, Kenya 7s, 40, 0, 
741,Russia  7s, England 7s, 17, 14, 
742,South Africa  7s, France 7s, 26, 14, 
743,Samoa  7s, Argentina 7s, 33, 19, 
744,Argentina  7s, China 7s, 26, 5, 
745,Wales  7s, Argentina 7s, 47, 28, 
746,Brazil  7s, China 7s, 22, 17, 
747,Australia  7s, Wales 7s, 14, 19, 
748,England  7s, Portugal 7s, 12, 14, 
749,Argentina  7s, Russia 7s, 40, 19, 
750,USA  7s, Brazil 7s, 24, 0, 
751,New Zealand  7s, Chinese Taipei 7s, 52, 0, 
752,New Zealand  7s, France 7s, 14, 12, 
753,New Zealand  7s, Samoa 7s, 33, 0, 
754,Australia  7s, Scotland 7s, 24, 12, 
755,Scotland  7s, Uruguay 7s, 40, 12, 
756,Argentina  7s, USA 7s, 19, 24, 
757,England  7s, USA 7s, 19, 21, 
758,Canada  7s, New Zealand 7s, 0, 36, 
759,Russia  7s, Spain 7s, 24, 0, 
760,Fiji  7s, USA 7s, 33, 19, 
761,Fiji  7s, Cook Islands 7s, 38, 0, 
762,New Zealand  7s, France 7s, 45, 7, 
763,Kenya  7s, Uganda 7s, 33, 0, 
764,New Zealand  7s, France 7s, 42, 7, 
765,Tonga  7s, Samoa 7s, 5, 25, 
766,USA  7s, Argentina 7s, 24, 26, 
767,Argentina  7s, Tonga 7s, 24, 12, 
768,Chile  7s, Wales 7s, 12, 19, 
769,Portugal  7s, France 7s, 26, 14, 
770,France  7s, Canada 7s, 19, 12, 
771,New Zealand  7s, France 7s, 28, 5, 
772,Australia  7s, Fiji 7s, 24, 5, 
773,Canada  7s, England 7s, 24, 12, 
774,Netherlands  7s, Brazil 7s, 12, 12, 
775,Australia  7s, England 7s, 21, 24, 
776,Canada  7s, Australia 7s, 17, 7, 
777,South Africa  7s, Samoa 7s, 12, 7, 
778,New Zealand  7s, Canada 7s, 28, 19, 
779,Canada  7s, Argentina 7s, 12, 19, 
780,England  7s, Argentina 7s, 14, 5, 
781,New Zealand  7s, Australia 7s, 26, 12, 
782,Chinese Taipei  7s, China 7s, 17, 10, 
783,England  7s, South Africa 7s, 12, 29, 
784,Samoa  7s, Australia 7s, 14, 5, 
785,Argentina  7s, Samoa 7s, 17, 7, 
786,Canada  7s, England 7s, 12, 17, 
787,Spain  7s, France 7s, 17, 28, 
788,New Zealand  7s, Spain 7s, 24, 26, 
789,Scotland  7s, Wales 7s, 12, 26, 
790,England  7s, Spain 7s, , , 
791,Kenya  7s, Papua New Guinea 7s, 28, 12, 
792,Fiji  7s, England 7s, 12, 19, 
793,Kenya  7s, Scotland 7s, 17, 0, 
794,Winner M31 Winner M32, , , 
795,USA  7s, Canada 7s, 26, 5, 
796,England  7s, Canada 7s, 19, 0, 
797,Japan  7s, Scotland 7s, 7, 17, 
798,New Zealand  7s, Tunisia 7s, 53, 0, 
799,Cook Islands  7s, Tonga 7s, 7, 29, 
800,South Africa  7s, Papua New Guinea 7s, 50, 0, 
801,Australia  7s, Chinese Taipei 7s, 55, 5, 
802,Australia  7s, China 7s, , , 
803,China  7s, Tunisia 7s, 57, 0, 
804,USA  7s, Russia 7s, 12, 10, 
805,Argentina  7s, France 7s, 19, 12, 
806,Ireland  7s, USA 7s, 24, 31, 
807,Fiji  7s, England 7s, 12, 14, 
808,France  7s, Fiji 7s, 12, 31, 
809,England  7s, Samoa 7s, 33, 14, 
810,Samoa  7s, United Arab Emirates 7s, 55, 12, 
811,South Africa  7s, Namibia 7s, 49, 0, 
812,Japan  7s, Kenya 7s, 22, 14, 
813,England  7s, Spain 7s, 34, 14, 
814,Scotland  7s, Argentina 7s, 12, 17, 
815,Australia  7s, Fiji 7s, 17, 5, 
816,Russia  7s, Canada 7s, 5, 26, 
817,Brazil  7s, Japan 7s, 0, 13, 
818,New Zealand  7s, USA 7s, 35, 12, 
819,Australia  7s, Spain 7s, 26, 7, 
820,New Zealand  7s, Portugal 7s, 38, 0, 
821,Australia  7s, Brazil 7s, 24, 0, 
822,New Zealand  7s, England 7s, 14, 5, 
823,Australia  7s, USA 7s, 17, 0, 
824,Loser M31 Loser M32, , , 
825,Fiji  7s, USA 7s, 24, 14, 
826,New Zealand  7s, South Africa 7s, 5, 21, 
827,Chile  7s, Spain 7s, 12, 28, 
828,Spain  7s, Brazil 7s, 22, 7, 
829,USA  7s, Portugal 7s, 10, 12, 
830,South Korea  7s, Niue Island 7s, 43, 12, 
831,South Africa  7s, Ireland 7s, 21, 12, 
832,Australia  7s, Argentina 7s, 26, 31, 
833,Ireland  7s, Russia 7s, 12, 17, 
834,Fiji  7s, Canada 7s, 22, 14, 
835,USA  7s, China 7s, 41, 0, 
836,Canada  7s, Zimbabwe 7s, 19, 0, 
837,South Africa  7s, Canada 7s, 24, 10, 
838,Fiji  7s, Zimbabwe 7s, 47, 0, 
839,Russia  7s, Australia 7s, 12, 31, 
840,Spain  7s, Scotland 7s, 12, 28, 
841,Wales  7s, Samoa 7s, 19, 14, 
842,Scotland  7s, Canada 7s, 19, 14, 
843,Argentina  7s, Samoa 7s, 36, 12, 
844,Australia  7s, Papua New Guinea 7s, 26, 7, 
845,Canada  7s, Namibia 7s, 26, 15, 
846,Wales  7s, Scotland 7s, 14, 7, 
847,England  7s, Netherlands 7s, 19, 12, 
848,Australia  7s, Samoa 7s, 19, 12, 
849,Argentina  7s, Kenya 7s, 7, 22, 
850,USA  7s, Guyana 7s, 33, 12, 
851,New Zealand  7s, Spain 7s, 26, 5, 
852,Fiji  7s, Zimbabwe 7s, 47, 7, 
853,Wales  7s, Scotland 7s, 31, 19, 
854,Loser M25 Loser M26, , , 
855,New Zealand  7s, Portugal 7s, 31, 10, 
856,Portugal  7s, Tunisia 7s, 5, 5, 
857,USA  7s, Scotland 7s, 33, 26, 
858,South Africa  7s, Portugal 7s, 17, 5, 
859,Fiji  7s, Australia 7s, 22, 17, 
860,New Zealand  7s, Singapore 7s, 68, 0, 
861,New Zealand  7s, Wales 7s, 27, 14, 
862,Canada  7s, Papua New Guinea 7s, 31, 14, 
863,South Africa  7s, England 7s, 33, 12, 
864,Canada  7s, France 7s, 12, 17, 
865,France  7s, Uruguay 7s, 21, 19, 
866,USA  7s, Ireland 7s, 5, 12, 
867,England  7s, Japan 7s, 40, 10, 
868,France  7s, Spain 7s, 33, 0, 
869,South Africa  7s, Fiji 7s, 19, 17, 
870,Samoa  7s, Fiji 7s, 17, 31, 
871,Winner M23 Winner M24, , , 
872,Australia  7s, USA 7s, 19, 10, 
873,Australia  7s, Japan 7s, 43, 0, 
874,New Zealand  7s, Argentina 7s, 26, 19, 
875,Fiji  7s, Samoa 7s, 40, 0, 
876,Scotland  7s, Zimbabwe 7s, 19, 26, 
877,Australia  7s, Argentina 7s, 14, 29, 
878,France  7s, Guyana 7s, 12, 12, 
879,USA  7s, Ireland 7s, 5, 28, 
880,New Zealand  7s, England 7s, 14, 7, 
881,Canada  7s, Japan 7s, 21, 7, 
882,South Africa  7s, Australia 7s, 27, 7, 
883,Fiji  7s, Samoa 7s, 17, 12, 
884,South Africa  7s, Japan 7s, 52, 0, 
885,England  7s, Papua New Guinea 7s, 35, 5, 
886,Canada  7s, New Zealand 7s, 19, 24, 
887,Fiji  7s, Canada 7s, 5, 26, 
888,Australia  7s, South Africa 7s, 19, 17, 
889,Fiji  7s, Australia 7s, 7, 28, 
890,France  7s, Thailand 7s, 47, 0, 
891,Scotland  7s, Tunisia 7s, 14, 33, 
892,South Africa  7s, USA 7s, 10, 29, 
893,Ireland  7s, Canada 7s, 19, 24, 
894,England  7s, Australia 7s, 26, 14, 
895,New Zealand  7s, Samoa 7s, 19, 26, 
896,England  7s, Sri Lanka 7s, 75, 0, 
897,New Zealand  7s, France 7s, 15, 10, 
898,Spain  7s, Samoa 7s, 21, 26, 
899,Spain  7s, France 7s, 10, 26, 
900,Canada  7s, USA 7s, 35, 5, 
901,Argentina  7s, Russia 7s, 19, 14, 
902,Canada  7s, Australia 7s, 12, 38, 
903,South Africa  7s, Cook Islands 7s, 31, 12, 
904,USA  7s, Wales 7s, 19, 10, 
905,USA  7s, Canada 7s, 36, 14, 
906,New Zealand  7s, Spain 7s, 14, 5, 
907,France  7s, USA 7s, 5, 21, 
908,Papua New Guinea  7s, South Korea 7s, 12, 24, 
909,France  7s, China 7s, 33, 5, 
910,England  7s, Papua New Guinea 7s, 29, 17, 
911,New Zealand  7s, Fiji 7s, 17, 19, 
912,Canada  7s, USA 7s, 26, 12, 
913,USA  7s, Australia 7s, 40, 7, 
914,New Zealand  7s, Samoa 7s, 14, 7, 
915,Portugal  7s, Scotland 7s, 26, 24, 
916,Australia  7s, Kenya 7s, 29, 7, 
917,Wales  7s, Samoa 7s, 7, 7, 
918,England  7s, Canada 7s, 47, 7, 
919,New Zealand  7s, South Africa 7s, 28, 14, 
920,Ireland  7s, Russia 7s, 21, 10, 
921,New Zealand  7s, England 7s, 10, 5, 
922,England  7s, Argentina 7s, 24, 7, 
923,Scotland  7s, Fiji 7s, 24, 0, 
924,Fiji  7s, Kenya 7s, , , 
925,Fiji  7s, New Zealand 7s, 15, 33, 
926,Fiji  7s, South Africa 7s, 17, 12, 
927,Namibia  7s, France 7s, 12, 36, 
928,New Zealand  7s, Samoa 7s, 12, 5, 
929,Portugal  7s, Kenya 7s, 24, 12, 
930,Russia  7s, Spain 7s, 0, 17, 
931,New Zealand  7s, Spain 7s, 19, 7, 
932,USA  7s, England 7s, , , 
933,Canada  7s, France 7s, 19, 7, 
934,Kenya  7s, Japan 7s, 17, 12, 
935,South Africa  7s, Argentina 7s, 17, 7, 
936,Samoa  7s, Spain 7s, 45, 5, 
937,Fiji  7s, Scotland 7s, 26, 14, 
938,Brazil  7s, USA 7s, 17, 26, 
939,New Zealand  7s, Fiji 7s, 19, 14, 
940,Russia  7s, Hong Kong 7s, 19, 26, 
941,Morocco  7s, United Arab Emirates 7s, 43, 12, 
942,Canada  7s, South Africa 7s, 7, 31, 
943,Kenya  7s, Wales 7s, 19, 24, 
944,Canada  7s, Portugal 7s, 19, 12, 
945,England  7s, Scotland 7s, 12, 7, 
946,Australia  7s, Canada 7s, 35, 21, 
947,Samoa  7s, Scotland 7s, 41, 12, 
948,Spain  7s, Brazil 7s, 19, 5, 
949,Samoa  7s, Tonga 7s, 17, 21, 
950,Portugal  7s, France 7s, 0, 38, 
951,France  7s, Uganda 7s, 22, 7, 
952,Samoa  7s, Zimbabwe 7s, 28, 12, 
953,Wales  7s, Argentina 7s, 5, 7, 
954,England  7s, Zimbabwe 7s, 43, 0, 
955,Samoa  7s, Kenya 7s, 31, 17, 
956,United Arab Emirates  7s, Zimbabwe 7s, 17, 12, 
957,Australia  7s, Georgia 7s, 24, 7, 
958,Australia  7s, South Africa 7s, 10, 12, 
959,England  7s, France 7s, 10, 5, 
960,France  7s, Russia 7s, 17, 21, 
961,England  7s, Spain 7s, 14, 7, 
962,Russia  7s, France 7s, 19, 12, 
963,Wales  7s, Kenya 7s, 19, 14, 
964,England  7s, Samoa 7s, 24, 0, 
965,France  7s, Wales 7s, 31, 12, 
966,England  7s, Australia 7s, 12, 26, 
967,China  7s, Fiji 7s, 14, 17, 
968,3rd Pool C 4th Pool B, , , 
969,Best 4th 2nd Best 4th, , , 
970,England  7s, Spain 7s, 22, 10, 
971,South Africa  7s, Thailand 7s, 77, 0, 
972,Fiji  7s, France 7s, 28, 17, 
973,Netherlands  7s, Brazil 7s, 17, 10, 
974,Georgia  7s, Portugal 7s, 7, 10, 
975,2nd Pool B 2nd Pool C, , , 
976,New Zealand  7s, England 7s, 28, 7, 
977,Russia  7s, USA 7s, 19, 10, 
978,England  7s, France 7s, 24, 12, 
979,Argentina  7s, Fiji 7s, 14, 21, 
980,Australia  7s, Wales 7s, 26, 12, 
981,Spain  7s, Brazil 7s, 26, 0, 
982,Australia  7s, Guyana 7s, 33, 0, 
983,Australia  7s, Spain 7s, 40, 0, 
984,Spain  7s, Wales 7s, 19, 7, 
985,Canada  7s, Fiji 7s, 26, 7, 
986,Scotland  7s, Japan 7s, 29, 7, 
987,England  7s, Fiji 7s, 24, 10, 
988,Wales  7s, Tunisia 7s, 26, 5, 
989,Ireland  7s, Netherlands 7s, 12, 10, 
990,New Zealand  7s, Ireland 7s, 31, 5, 
991,Spain  7s, Wales 7s, 21, 5, 
992,South Africa  7s, Chile 7s, 5, 5, 
993,England  7s, New Zealand 7s, 10, 7, 
994,New Zealand  7s, Fiji 7s, 21, 22, 
995,Australia  7s, USA 7s, 14, 17, 
996,Hong Kong  7s, Canada 7s, 5, 36, 
997,Fiji  7s, Canada 7s, 35, 7, 
998,France  7s, South Africa 7s, 5, 33, 
999,South Africa  7s, England 7s, 26, 12, 
1000,USA  7s, Wales 7s, , , 
1001,Russia  7s, France 7s, 26, 0, 
1002,Canada  7s, Portugal 7s, , , 
1003,Fiji  7s, England 7s, 19, 12, 
1004,Australia  7s, Canada 7s, 7, 12, 
1005,New Zealand  7s, Portugal 7s, 31, 7, 
1006,New Zealand  7s, Kenya 7s, 36, 0, 
1007,Canada  7s, USA 7s, 17, 33, 
1008,Winner M25 Winner M26, , , 
1009,Wales  7s, Canada 7s, 12, 21, 
1010,Canada  7s, Russia 7s, 7, 17, 
1011,France  7s, Scotland 7s, 22, 7, 
1012,Scotland  7s, Portugal 7s, 19, 17, 
1013,Canada  7s, Japan 7s, 52, 5, 
1014,Australia  7s, Japan 7s, 10, 7, 
1015,Loser M27 Loser M28, , , 
1016,Wales  7s, Scotland 7s, 14, 19, 
1017,Russia  7s, Japan 7s, 10, 19, 
1018,England  7s, Ireland 7s, 32, 0, 
1019,Canada  7s, Brazil 7s, 26, 19, 
1020,Wales  7s, Scotland 7s, 40, 12, 
1021,Fiji  7s, USA 7s, 35, 12, 
1022,Fiji  7s, France 7s, 26, 12, 
1023,England  7s, Fiji 7s, 10, 15, 
1024,Winner M33 Winner M34, , , 
1025,France  7s, Japan 7s, 14, 21, 
1026,New Zealand  7s, Fiji 7s, 26, 0, 
1027,Argentina  7s, United Arab Emirates 7s, 22, 5, 
1028,Wales  7s, France 7s, 29, 24, 
1029,Ireland  7s, England 7s, , , 
1030,Loser M29 Loser M30, , , 
1031,United Arab Emirates  7s, Kenya 7s, 5, 35, 
1032,Argentina  7s, Fiji 7s, 21, 10, 
1033,France  7s, Sri Lanka 7s, 42, 7, 
1034,France  7s, Australia 7s, 0, 26, 
1035,Fiji  7s, South Africa 7s, 14, 19, 
1036,Fiji  7s, England 7s, 17, 19, 
1037,USA  7s, Spain 7s, , , 
1038,Fiji  7s, Russia 7s, 33, 19, 
1039,Scotland  7s, Spain 7s, 21, 14, 
1040,Canada  7s, Russia 7s, 33, 0, 
1041,Spain  7s, Ireland 7s, 12, 14, 
1042,Spain  7s, Canada 7s, 12, 21, 
1043,Winner M27 Winner M28, , , 
1044,Canada  7s, France 7s, 26, 5, 
1045,1st Pool B 2nd Pool C, , , 
1046,Samoa  7s, Japan 7s, 33, 0, 
1047,Kenya  7s, France 7s, 17, 40, 
1048,New Zealand  7s, Argentina 7s, 33, 5, 
1049,Canada  7s, China 7s, , , 
1050,Portugal  7s, Canada 7s, 33, 24, 
1051,Fiji  7s, Argentina 7s, 21, 10, 
1052,Japan  7s, Kenya 7s, 15, 28, 
1053,France  7s, USA 7s, 19, 21, 
1054,Spain  7s, England 7s, 0, 26, 
1055,Australia  7s, Canada 7s, 21, 19, 
1056,England  7s, Canada 7s, 7, 12, 
1057,New Zealand  7s, Fiji 7s, 19, 10, 
1058,France  7s, Brazil 7s, 25, 5, 
1059,Canada  7s, Ireland 7s, 17, 7, 
1060,England  7s, Scotland 7s, 33, 12, 
1061,Canada  7s, Kenya 7s, 24, 14, 
1062,Wales  7s, South Africa 7s, 7, 22, 
1063,England  7s, France 7s, 40, 0, 
1064,New Zealand  7s, United Arab Emirates 7s, 46, 7, 
1065,Australia  7s, Uganda 7s, 36, 0, 
1066,South Africa  7s, Argentina 7s, 33, 12, 
1067,1st Pool A 2nd Best 3rd, , , 
1068,Argentina  7s, Canada 7s, 17, 7, 
1069,Canada  7s, France 7s, 28, 12, 
1070,France  7s, USA 7s, 7, 10, 
1071,USA  7s, Fiji 7s, , , 
1072,England  7s, Scotland 7s, 21, 7, 
1073,New Zealand  7s, Australia 7s, , , 
1074,Fiji  7s, France 7s, 35, 5, 
1075,USA  7s, France 7s, 7, 0, 
1076,England  7s, USA 7s, 7, 14, 
1077,England  7s, USA 7s, 26, 12, 
1078,Canada  7s, Spain 7s, 27, 7, 
1079,Fiji  7s, New Zealand 7s, 14, 36, 
1080,Papua New Guinea  7s, Wales 7s, 5, 24, 
1081,England  7s, Chile 7s, 22, 0, 
1082,Kenya  7s, France 7s, 14, 22, 
1083,Argentina  7s, USA 7s, 19, 22, 
1084,Argentina  7s, New Zealand 7s, 21, 26, 
1085,Netherlands  7s, Brazil 7s, 31, 0, 
1086,Russia  7s, Kenya 7s, 15, 7, 
1087,USA  7s, South Africa 7s, 7, 35, 
1088,Australia  7s, Canada 7s, 5, 0, 
1089,New Zealand  7s, South Africa 7s, 39, 0, 
1090,South Africa  7s, Fiji 7s, 15, 21, 
1091,Wales  7s, Canada 7s, 15, 12, 
1092,Spain  7s, Scotland 7s, 14, 15, 
1093,Samoa  7s, Japan 7s, 17, 21, 
1094,Fiji  7s, Wales 7s, 33, 14, 
1095,England  7s, Brazil 7s, 29, 5, 
1096,USA  7s, Wales 7s, 35, 19, 
1097,Wales  7s, Argentina 7s, 19, 10, 
1098,England  7s, Spain 7s, 19, 10, 
1099,USA  7s, Spain 7s, 17, 5, 
1100,South Africa  7s, Fiji 7s, 31, 12, 
1101,New Zealand  7s, Wales 7s, 26, 7, 
1102,Russia  7s, Spain 7s, 34, 5, 
1103,England  7s, Canada 7s, 14, 0, 
1104,USA  7s, Scotland 7s, 0, 26, 
1105,Spain  7s, Brazil 7s, 21, 5, 
1106,Kenya  7s, Singapore 7s, 59, 0, 
1107,Scotland  7s, New Zealand 7s, 7, 14, 
1108,Australia  7s, Russia 7s, 28, 19, 
1109,Fiji  7s, Scotland 7s, 38, 10, 
1110,Australia  7s, France 7s, 26, 14, 
1111,Samoa  7s, France 7s, 21, 19, 
1112,Wales  7s, Japan 7s, 31, 14, 
1113,Samoa  7s, Zimbabwe 7s, 21, 12, 
1114,Niue Island  7s, USA 7s, 17, 22, 
1115,New Zealand  7s, England 7s, 19, 5, 
1116,Russia  7s, New Zealand 7s, 7, 24, 
1117,Papua New Guinea  7s, Spain 7s, 17, 31, 
1118,Scotland  7s, Russia 7s, 26, 10, 
1119,Argentina  7s, Zimbabwe 7s, 19, 14, 
1120,England  7s, Samoa 7s, 12, 19, 
1121,France  7s, Morocco 7s, 35, 7, 
1122,Fiji  7s, Hong Kong 7s, 40, 0, 
1123,Ireland  7s, USA 7s, 5, 17, 
1124,Australia  7s, Russia 7s, 21, 15, 
1125,New Zealand  7s, Wales 7s, 29, 0, 
1126,New Zealand  7s, Australia 7s, 31, 5, 
1127,Australia  7s, Scotland 7s, 24, 12, 
1128,New Zealand  7s, Russia 7s, 24, 5, 
1129,England  7s, Tunisia 7s, 52, 0, 
1130,Fiji  7s, USA 7s, 43, 0, 
1131,Canada  7s, United Arab Emirates 7s, 36, 0, 
1132,Chinese Taipei  7s, Singapore 7s, 17, 0, 
1133,South Africa  7s, Scotland 7s, 12, 19, 
1134,France  7s, Kenya 7s, 31, 12, 
